Date,Description,Amount,Category
2024-01-02,ssd purchase,354.2154415442251,Laptop Repair
2024-01-03,notebook,150.91411338629018,SSD Purchase
2024-01-04,fruits,242.6794207107829,Laptop Repair
2024-01-05,ssd purchase,447.0501829442204,Laptop Repair
2024-01-06,pencil,111.201241869659,Laptop Repair
2024-01-06,fruits,471.6429573363711,Mobile Recharge
2024-01-07,groceries,25.189327406380865,SSD Purchase
2024-01-09,notebook,362.2682417597176,Other
2024-01-09,ssd purchase,430.0683553035416,Laptop Repair
2024-01-10,ssd purchase,330.31821816453686,SSD Purchase
2024-01-12,notebook,302.44720571530473,Laptop Repair
2024-01-14,ink,269.01412994129225,Mobile Recharge
2024-01-15,pen,120.745844245612,Other
2024-01-15,groceries,194.65241710557183,Mobile Recharge
2024-01-17,pencil,17.286719169193834,Laptop Repair
2024-01-17,fruits,470.2909473143858,Laptop Repair
2024-01-19,notebook,137.50590564703984,SSD Purchase
2024-01-20,pen,79.85750194967054,SSD Purchase
2024-01-22,pencil,115.39652241438876,Stationery
2024-01-22,outdoor food,110.18460569237584,Stationery
2024-01-23,groceries,447.59363231654135,Food
2024-01-24,notebook,60.855882019702285,SSD Purchase
2024-01-24,pen,200.81437017786897,SSD Purchase
2024-01-24,laptop repair,450.198868218731,SSD Purchase
2024-01-24,pencil,485.55851985162326,Other
2024-01-25,laptop repair,412.24703569810106,Other
2024-01-25,pen,487.6324568561718,Laptop Repair
2024-01-25,laptop repair,141.0122968058027,Stationery
2024-01-27,fruits,447.565151169884,Laptop Repair
2024-01-27,fruits,283.0925240969745,Laptop Repair
2024-01-28,fruits,414.50700649887415,Food
2024-01-29,pen,366.0127992139591,SSD Purchase
2024-01-30,ssd purchase,394.5164647182553,SSD Purchase
2024-02-01,ssd purchase,295.446466804973,Food
2024-02-01,ssd purchase,467.5850714112442,Food
2024-02-02,pencil,411.12956688931473,Laptop Repair
2024-02-04,notebook,269.31631766327735,Other
2024-02-06,outdoor food,134.87633974946166,SSD Purchase
2024-02-06,groceries,294.67444840940993,Stationery
2024-02-08,ssd purchase,391.6214139670705,Other
2024-02-10,groceries,228.73075384770584,Food
2024-02-11,mobile recharge,455.8748118017432,SSD Purchase
2024-02-13,ink,329.04286670601994,SSD Purchase
2024-02-15,fruits,398.0149058348595,SSD Purchase
2024-02-15,laptop repair,121.16858494252266,SSD Purchase
2024-02-16,ssd purchase,49.4891937291648,Mobile Recharge
2024-02-17,ink,336.14143316101524,Laptop Repair
2024-02-19,outdoor food,436.12512030816345,Food
2024-02-20,ink,270.99760686382865,Stationery
2024-02-20,mobile recharge,104.71618400768855,Stationery
2024-02-21,ssd purchase,338.596603887356,Mobile Recharge
2024-02-22,pencil,451.8332876557921,SSD Purchase
2024-02-24,mobile recharge,103.2118576738927,Food
2024-02-25,fruits,107.5924064829018,Other
2024-02-27,outdoor food,183.16852549478392,SSD Purchase
2024-02-29,groceries,405.3151180158531,Other
2024-03-01,groceries,70.40914299515885,Stationery
2024-03-03,outdoor food,207.05029173927295,Stationery
2024-03-05,mobile recharge,394.2489406785307,Stationery
2024-03-05,outdoor food,423.1843029673146,Stationery
2024-03-07,notebook,105.74099818612596,Mobile Recharge
2024-03-08,notebook,87.87189109811328,SSD Purchase
2024-03-09,mobile recharge,313.75522164481373,Stationery
2024-03-10,groceries,207.4062200135429,Stationery
2024-03-10,ssd purchase,488.9109531970613,SSD Purchase
2024-03-11,pencil,138.69779929581972,Laptop Repair
2024-03-13,pencil,434.2123665922177,SSD Purchase
2024-03-15,ink,368.5788048402065,Laptop Repair
2024-03-16,ink,87.47379887940079,Food
2024-03-17,pen,234.0938421513509,Mobile Recharge
2024-03-18,ssd purchase,132.051888701896,Other
2024-03-18,outdoor food,24.3834231720012,Stationery
2024-03-20,groceries,485.1632262373788,Other
2024-03-21,outdoor food,397.4527811905649,SSD Purchase
2024-03-21,outdoor food,313.9957597862554,SSD Purchase
2024-03-23,ssd purchase,434.73196542476,Food
2024-03-23,pen,286.509730076427,Laptop Repair
2024-03-25,notebook,145.68864173321683,Stationery
2024-03-27,fruits,211.43302801086693,SSD Purchase
2024-03-28,ssd purchase,416.8410782256192,Mobile Recharge
2024-03-30,ink,368.48721069114265,Other
2024-03-30,pen,448.626663771709,Other
2024-03-31,fruits,28.607352100560355,Mobile Recharge
2024-03-31,groceries,467.26280401296407,SSD Purchase
2024-03-31,pen,477.8521801917259,Food
2024-04-02,pencil,475.9128162076898,Food
2024-04-02,notebook,21.404570480931117,Stationery
2024-04-02,ink,25.426922656188346,Laptop Repair
2024-04-02,ssd purchase,179.80084169190897,Food
2024-04-04,laptop repair,380.4284056999868,Laptop Repair
2024-04-06,ink,232.41289998070064,Mobile Recharge
2024-04-06,pen,395.4479769129924,Mobile Recharge
2024-04-07,pencil,238.1424178205287,Mobile Recharge
2024-04-09,laptop repair,341.79372845120406,Other
2024-04-09,outdoor food,139.55225177299403,Mobile Recharge
2024-04-09,ssd purchase,384.8561592067744,Mobile Recharge
2024-04-10,fruits,344.54498329810417,Other
2024-04-11,groceries,314.6344962590712,Stationery
2024-04-11,ink,495.3574757958845,Other
2024-04-13,ink,141.51628861597396,Food
