Date,Description,Amount,Category
2024-01-02,SSD Purchase,354.2154415442251,Laptop Repair
2024-01-03,Notebook,150.91411338629018,SSD Purchase
2024-01-04,Fruits,242.67942071078292,Laptop Repair
2024-01-05,SSD Purchase,447.05018294422035,Laptop Repair
2024-01-06,Pencil,111.20124186965899,Laptop Repair
2024-01-06,Fruits,471.6429573363711,Mobile Recharge
2024-01-07,Groceries,25.189327406380865,SSD Purchase
2024-01-09,Notebook,362.2682417597176,Other
2024-01-09,SSD Purchase,430.0683553035416,Laptop Repair
2024-01-10,SSD Purchase,330.31821816453686,SSD Purchase
2024-01-12,Notebook,302.44720571530473,Laptop Repair
2024-01-14,Ink,269.01412994129225,Mobile Recharge
2024-01-15,Pen,120.745844245612,Other
2024-01-15,Groceries,194.65241710557183,Mobile Recharge
2024-01-17,Pencil,17.286719169193834,Laptop Repair
2024-01-17,Fruits,470.2909473143858,Laptop Repair
2024-01-19,Notebook,137.50590564703984,SSD Purchase
2024-01-20,Pen,79.85750194967054,SSD Purchase
2024-01-22,Pencil,115.39652241438877,Stationery
2024-01-22,Outdoor Food,110.18460569237583,Stationery
2024-01-23,Groceries,447.59363231654135,Food
2024-01-24,Notebook,60.855882019702285,SSD Purchase
2024-01-24,Pen,200.81437017786897,SSD Purchase
2024-01-24,Laptop Repair,450.198868218731,SSD Purchase
2024-01-24,Pencil,485.55851985162326,Other
2024-01-25,Laptop Repair,412.24703569810106,Other
2024-01-25,Pen,487.6324568561718,Laptop Repair
2024-01-25,Laptop Repair,141.0122968058027,Stationery
2024-01-27,Fruits,447.565151169884,Laptop Repair
2024-01-27,Fruits,283.0925240969745,Laptop Repair
2024-01-28,Fruits,414.50700649887415,Food
2024-01-29,Pen,366.01279921395906,SSD Purchase
2024-01-30,SSD Purchase,394.5164647182553,SSD Purchase
2024-02-01,SSD Purchase,295.446466804973,Food
2024-02-01,SSD Purchase,467.5850714112442,Food
2024-02-02,Pencil,411.12956688931473,Laptop Repair
2024-02-04,Notebook,269.31631766327735,Other
2024-02-06,Outdoor Food,134.87633974946166,SSD Purchase
2024-02-06,Groceries,294.67444840940993,Stationery
2024-02-08,SSD Purchase,391.6214139670705,Other
2024-02-10,Groceries,228.73075384770584,Food
2024-02-11,Mobile Recharge,455.87481180174314,SSD Purchase
2024-02-13,Ink,329.04286670601994,SSD Purchase
2024-02-15,Fruits,398.0149058348595,SSD Purchase
2024-02-15,Laptop Repair,121.16858494252266,SSD Purchase
2024-02-16,SSD Purchase,49.489193729164796,Mobile Recharge
2024-02-17,Ink,336.14143316101524,Laptop Repair
2024-02-19,Outdoor Food,436.12512030816345,Food
2024-02-20,Ink,270.99760686382865,Stationery
2024-02-20,Mobile Recharge,104.71618400768855,Stationery
2024-02-21,SSD Purchase,338.596603887356,Mobile Recharge
2024-02-22,Pencil,451.83328765579205,SSD Purchase
2024-02-24,Mobile Recharge,103.2118576738927,Food
2024-02-25,Fruits,107.5924064829018,Other
2024-02-27,Outdoor Food,183.16852549478392,SSD Purchase
2024-02-29,Groceries,405.3151180158531,Other
2024-03-01,Groceries,70.40914299515885,Stationery
2024-03-03,Outdoor Food,207.05029173927298,Stationery
2024-03-05,Mobile Recharge,394.2489406785307,Stationery
2024-03-05,Outdoor Food,423.18430296731464,Stationery
2024-03-07,Notebook,105.74099818612596,Mobile Recharge
2024-03-08,Notebook,87.87189109811328,SSD Purchase
2024-03-09,Mobile Recharge,313.75522164481373,Stationery
2024-03-10,Groceries,207.4062200135429,Stationery
2024-03-10,SSD Purchase,488.91095319706125,SSD Purchase
2024-03-11,Pencil,138.69779929581972,Laptop Repair
2024-03-13,Pencil,434.21236659221773,SSD Purchase
2024-03-15,Ink,368.5788048402065,Laptop Repair
2024-03-16,Ink,87.47379887940079,Food
2024-03-17,Pen,234.0938421513509,Mobile Recharge
2024-03-18,SSD Purchase,132.051888701896,Other
2024-03-18,Outdoor Food,24.3834231720012,Stationery
2024-03-20,Groceries,485.1632262373788,Other
2024-03-21,Outdoor Food,397.45278119056485,SSD Purchase
2024-03-21,Outdoor Food,313.9957597862554,SSD Purchase
2024-03-23,SSD Purchase,434.73196542476,Food
2024-03-23,Pen,286.509730076427,Laptop Repair
2024-03-25,Notebook,145.68864173321685,Stationery
2024-03-27,Fruits,211.43302801086693,SSD Purchase
2024-03-28,SSD Purchase,416.8410782256192,Mobile Recharge
2024-03-30,Ink,368.48721069114265,Other
2024-03-30,Pen,448.626663771709,Other
2024-03-31,Fruits,28.607352100560355,Mobile Recharge
2024-03-31,Groceries,467.26280401296407,SSD Purchase
2024-03-31,Pen,477.8521801917259,Food
2024-04-02,Pencil,475.91281620768984,Food
2024-04-02,Notebook,21.404570480931113,Stationery
2024-04-02,Ink,25.426922656188346,Laptop Repair
2024-04-02,SSD Purchase,179.80084169190897,Food
2024-04-04,Laptop Repair,380.4284056999868,Laptop Repair
2024-04-06,Ink,232.41289998070064,Mobile Recharge
2024-04-06,Pen,395.44797691299243,Mobile Recharge
2024-04-07,Pencil,238.1424178205287,Mobile Recharge
2024-04-09,Laptop Repair,341.79372845120406,Other
2024-04-09,Outdoor Food,139.55225177299405,Mobile Recharge
2024-04-09,SSD Purchase,384.8561592067744,Mobile Recharge
2024-04-10,Fruits,344.54498329810417,Other
2024-04-11,Groceries,314.6344962590712,Stationery
2024-04-11,Ink,495.3574757958845,Other
2024-04-13,Ink,141.51628861597396,Food
